Variable:,pr
,Andorra,"Andorra La Vella",Canillo,Encamp,Escaldes-engordany,"La Massana",Ordino,"Sant Julia De Loria"
1901,984.13,982.68,1033.50,1031.91,968.66,987.86,1022.30,916.21
1902,931.86,935.12,951.10,950.54,928.40,943.12,949.14,888.19
1903,800.77,803.36,829.10,828.23,793.73,812.49,825.02,745.50
1904,677.00,676.63,696.00,695.27,666.14,687.95,694.02,639.50
1905,874.67,871.31,923.00,921.23,850.79,886.65,914.08,801.42
1906,860.71,860.55,896.80,895.54,845.30,874.16,891.25,797.24
1907,946.04,947.17,989.90,988.55,934.75,954.06,981.11,876.57
1908,916.67,916.85,933.50,932.71,901.25,938.65,934.76,868.41
1909,736.62,737.45,772.70,771.60,727.64,742.30,765.24,680.67
1910,911.04,911.74,949.60,948.21,892.79,931.90,945.26,834.34
1911,840.48,839.98,878.40,877.12,826.10,850.10,871.46,779.50
1912,727.83,725.31,781.60,779.79,707.67,734.30,770.00,652.49
1913,988.62,986.43,1027.10,1025.53,962.92,1011.94,1023.38,913.56
1914,997.37,996.26,1037.70,1036.16,974.92,1018.26,1032.93,921.02
1915,1129.90,1128.27,1160.10,1158.75,1104.88,1157.20,1159.39,1060.39
1916,856.51,854.11,895.70,894.07,829.33,881.41,892.19,779.01
1917,1024.82,1022.71,1070.80,1069.02,998.20,1047.29,1065.03,940.64
1918,875.62,876.73,913.40,912.20,864.42,885.68,906.60,811.87
1919,986.45,983.84,1019.60,1018.11,958.81,1013.65,1018.14,914.60
1920,1041.28,1041.72,1091.50,1089.86,1024.54,1054.06,1082.32,958.85
1921,900.08,900.94,916.40,915.78,891.05,913.35,915.65,861.62
1922,903.31,900.46,932.30,930.95,877.35,928.16,931.29,840.13
1923,781.01,778.22,804.20,802.92,751.97,813.78,806.55,716.23
1924,669.60,667.41,697.10,695.89,647.72,690.21,695.41,612.30
1925,735.64,734.37,762.70,761.49,713.32,760.67,762.20,672.40
1926,1010.69,1008.97,1046.90,1045.44,987.37,1032.39,1043.34,939.82
1927,835.74,830.64,874.70,872.79,796.79,871.65,873.95,749.81
1928,730.88,734.04,772.90,771.43,712.71,759.55,769.63,636.77
1929,690.48,678.99,711.10,709.49,645.53,719.95,713.27,646.16
1930,1147.65,1157.07,1242.40,1239.91,1140.66,1160.12,1222.22,992.62
1931,838.23,832.36,868.30,866.77,805.98,862.57,866.89,778.75
1932,1344.15,1335.70,1400.90,1398.51,1303.34,1364.12,1391.88,1258.11
1933,949.38,939.20,1003.40,1000.80,897.41,983.81,998.59,852.77
1934,842.38,837.20,903.60,900.91,793.70,887.06,899.54,716.71
1935,863.32,854.80,921.00,918.20,806.72,910.92,918.53,744.04
1936,1126.30,1125.16,1126.50,1125.48,1084.82,1196.15,1143.59,1046.54
1937,817.34,812.83,867.60,864.98,760.55,883.13,871.41,680.71
1938,929.02,931.33,967.10,965.84,915.87,947.00,962.17,853.84
1939,1074.68,1083.09,1083.20,1082.95,1072.85,1106.42,1088.90,1013.70
1940,842.06,836.23,880.90,878.66,789.45,899.69,885.51,732.14
1941,1028.55,1013.72,1087.80,1084.38,948.23,1094.26,1089.38,895.66
1942,811.92,805.39,854.90,853.45,795.90,799.90,841.41,778.48
1943,1000.92,998.56,1044.60,1042.99,978.90,1015.07,1037.36,929.83
1944,880.64,876.29,919.30,917.59,849.62,905.30,915.86,807.06
1945,650.88,644.79,673.10,671.97,626.84,662.65,670.54,616.81
1946,862.70,857.05,898.10,896.78,844.34,861.03,889.00,826.03
1947,842.48,838.96,874.10,872.26,798.97,895.21,879.28,744.37
1948,791.81,792.00,823.80,822.53,771.77,816.40,821.98,720.30
1949,801.29,800.34,832.90,831.57,778.41,826.81,831.40,730.94
1950,669.56,666.38,705.40,703.83,641.42,694.52,702.73,597.61
1951,1166.53,1166.71,1236.90,1234.83,1152.55,1165.87,1219.47,1073.27
1952,796.35,798.36,806.80,806.21,782.78,824.29,811.09,746.92
1953,791.58,792.43,818.20,817.62,794.57,779.46,808.70,768.89
1954,773.68,767.82,822.90,820.73,734.17,803.89,818.24,681.84
1955,1046.67,1044.89,1074.00,1072.95,1031.26,1057.31,1069.91,1000.56
1956,859.74,855.28,918.70,916.45,826.92,879.59,909.11,764.87
1957,936.24,933.75,998.90,996.68,908.44,953.12,987.67,836.88
1958,785.57,778.06,826.40,824.26,738.93,825.46,826.17,696.19
1959,1198.23,1191.82,1249.20,1246.87,1154.23,1233.75,1245.41,1098.73
1960,1165.10,1161.05,1173.00,1172.35,1146.65,1179.89,1174.69,1143.51
1961,763.51,758.87,794.50,793.03,734.37,786.59,792.56,702.38
1962,1108.02,1107.32,1150.90,1149.43,1090.71,1120.28,1143.39,1037.72
1963,1223.82,1225.06,1252.50,1251.43,1208.76,1244.66,1250.58,1159.48
1964,996.76,996.10,1032.90,1031.61,980.14,1010.48,1027.40,933.64
1965,970.78,966.04,1026.60,1024.08,923.60,1016.44,1024.11,850.49
1966,933.91,932.45,990.70,988.40,896.66,973.80,986.55,814.07
1967,754.99,760.31,749.70,750.25,772.07,746.44,748.90,763.93
1968,1010.86,1004.33,1069.10,1066.45,960.72,1054.15,1065.43,892.82
1969,1190.14,1187.15,1226.60,1225.17,1168.13,1204.62,1221.21,1129.24
1970,784.17,782.25,825.40,823.81,760.49,803.85,820.11,709.27
1971,1149.96,1149.90,1190.70,1189.27,1132.36,1165.96,1184.63,1077.14
1972,1164.14,1158.44,1194.40,1193.20,1145.29,1165.09,1187.21,1131.36
1973,726.32,724.31,747.00,745.99,705.72,747.87,747.21,676.73
1974,940.80,934.90,999.80,997.08,888.90,989.35,997.24,814.69
1975,939.07,939.12,941.70,941.62,938.25,939.74,941.22,934.71
1976,917.53,922.70,910.20,910.65,928.65,919.85,912.57,916.77
1977,1176.89,1178.60,1217.50,1216.29,1168.06,1183.91,1209.26,1112.04
1978,786.59,781.76,832.60,830.45,744.73,826.07,831.00,686.71
1979,1056.69,1054.76,1086.40,1085.15,1035.43,1076.32,1083.93,997.21
1980,787.37,778.53,842.60,839.96,734.69,827.65,838.93,680.34
1981,868.74,862.60,915.10,912.98,828.76,899.79,911.34,780.19
1982,1083.21,1087.17,1090.30,1090.10,1082.20,1097.27,1092.01,1051.42
1983,762.13,759.72,773.50,772.75,742.97,783.08,775.85,726.27
1984,910.69,907.47,928.70,927.65,885.83,936.32,930.57,861.76
1985,710.33,701.10,766.40,763.81,660.81,743.18,760.70,611.38
1986,653.78,648.25,709.30,707.23,624.68,664.24,698.25,575.98
1987,932.08,935.26,950.10,949.78,936.96,928.55,944.81,907.37
1988,930.74,927.45,961.90,960.34,898.06,965.16,962.70,854.20
1989,842.56,840.91,871.50,870.45,828.49,850.68,866.39,797.04
1990,810.30,809.70,826.40,825.46,788.11,841.71,830.16,753.26
1991,864.92,864.58,900.70,899.41,847.94,880.60,895.77,799.55
1992,1089.31,1089.16,1129.00,1127.62,1072.52,1103.90,1122.84,1019.71
1993,986.45,984.97,1023.60,1022.14,964.00,1007.13,1019.56,915.14
1994,740.82,739.77,766.20,765.14,723.00,759.23,764.49,687.17
1995,710.43,707.66,747.50,746.04,687.77,726.68,742.39,646.31
1996,1258.00,1255.28,1328.00,1325.50,1225.86,1279.03,1315.99,1144.40
1997,971.27,969.34,966.40,965.90,945.89,1011.24,977.40,934.20
1998,723.12,719.76,771.30,769.55,699.89,734.01,762.15,651.33
1999,934.66,931.71,971.50,969.95,908.19,957.13,967.98,863.93
2000,869.17,865.77,901.50,900.01,840.71,895.19,899.95,801.01
2001,726.56,725.04,769.20,767.72,708.81,736.62,761.21,660.33
2002,1075.19,1074.52,1102.70,1101.57,1056.58,1095.66,1100.97,1015.77
2003,995.91,995.12,1010.70,1009.84,975.46,1023.98,1013.96,944.77
2004,954.22,951.98,987.50,986.00,926.24,983.36,986.49,879.41
2005,755.69,755.63,764.40,763.85,741.97,776.73,767.43,719.70
2006,688.61,688.51,692.00,691.54,673.15,714.64,697.55,653.97
2007,747.77,746.20,745.80,745.32,726.02,781.50,754.56,713.59
2008,946.77,942.27,983.60,981.92,915.18,972.57,980.89,874.53
2009,730.61,728.86,770.80,769.32,710.21,745.48,764.59,662.41
2010,870.84,868.21,921.50,919.68,847.10,884.43,912.40,791.54
2011,858.09,857.25,893.10,891.76,838.55,876.78,889.10,791.01
2012,696.88,695.95,717.70,716.84,682.66,711.03,716.06,654.11
2013,1014.32,1011.02,1051.90,1050.24,984.34,1041.45,1049.34,937.71
2014,1040.34,1037.35,1081.60,1079.98,1015.50,1058.09,1075.83,969.24
2015,740.51,737.21,756.20,755.22,716.11,765.85,758.57,695.13
2016,788.40,782.69,805.50,804.17,751.01,827.41,810.88,728.92
2017,779.55,774.87,784.70,783.76,746.21,819.67,793.28,733.12
2018,1215.21,1218.56,1250.20,1249.17,1208.06,1227.49,1244.63,1149.26
2019,927.28,923.80,951.30,949.96,896.48,960.30,953.51,862.16
2020,951.58,947.62,973.10,971.70,915.76,992.69,977.91,881.11
