Variable:,pr
,Belgium,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes","Vlaams Gewest","Region wallonne"
1901,691.48,603.20,625.86,742.27
1902,736.04,686.10,655.51,796.23
1903,887.57,818.80,812.93,944.03
1904,668.69,626.50,597.97,721.65
1905,844.95,816.10,783.64,890.60
1906,828.50,798.30,760.49,879.26
1907,680.38,629.80,606.56,736.10
1908,720.78,689.50,658.40,767.58
1909,852.29,827.70,787.84,900.36
1910,1002.43,983.60,897.96,1079.35
1911,705.82,699.60,654.70,743.70
1912,894.28,882.00,860.71,919.39
1913,826.88,818.40,760.75,876.12
1914,895.58,854.10,802.09,965.36
1915,949.83,904.90,864.92,1013.08
1916,983.73,936.60,884.97,1057.41
1917,833.13,822.60,772.66,878.06
1918,875.62,811.50,794.54,936.84
1919,898.77,853.40,810.78,964.36
1920,750.46,722.40,679.85,803.36
1921,445.40,434.50,414.17,468.31
1922,909.28,849.80,796.91,993.40
1923,942.14,911.10,856.24,1005.53
1924,875.74,833.00,791.23,938.98
1925,1045.96,1011.60,957.13,1111.64
1926,881.87,841.20,805.80,939.11
1927,864.17,824.40,798.90,913.53
1928,870.68,837.70,791.83,929.38
1929,696.81,651.70,624.45,751.24
1930,995.80,924.50,888.51,1076.66
1931,865.88,827.10,778.05,931.40
1932,850.19,796.50,768.09,911.75
1933,657.65,655.80,615.48,688.53
1934,728.26,704.30,662.77,776.96
1935,922.92,861.90,846.28,981.05
1936,852.53,785.40,754.83,926.21
1937,930.23,901.20,833.42,1001.84
1938,805.38,773.60,740.61,853.65
1939,1015.54,997.90,911.36,1092.09
1940,898.34,829.80,802.06,970.73
1941,835.20,813.20,755.55,894.49
1942,840.27,820.30,786.90,879.54
1943,822.52,763.30,728.48,892.96
1944,952.61,870.60,855.14,1026.58
1945,834.28,806.00,767.27,883.96
1946,905.07,891.50,839.25,954.00
1947,778.83,731.20,689.01,846.51
1948,961.76,945.90,853.81,1041.38
1949,680.09,621.30,601.97,739.14
1950,988.06,942.70,892.28,1059.49
1951,1004.27,1000.60,916.73,1068.61
1952,1076.43,1023.60,956.84,1165.37
1953,626.96,609.60,584.50,658.69
1954,892.04,820.90,799.82,962.14
1955,741.66,689.20,666.49,798.77
1956,872.41,814.20,789.99,934.50
1957,913.14,880.70,828.86,976.10
1958,979.35,901.70,867.63,1063.15
1959,611.30,575.60,559.54,650.18
1960,989.85,935.80,931.80,1033.83
1961,994.08,950.50,904.87,1061.22
1962,848.55,796.80,761.24,914.36
1963,748.26,726.80,698.37,785.83
1964,765.94,781.00,744.08,781.57
1965,1118.28,1052.30,1004.56,1203.98
1966,1139.24,1087.30,1049.03,1207.21
1967,804.26,753.50,725.17,864.56
1968,820.43,803.70,764.24,862.32
1969,816.14,779.80,768.61,851.30
1970,862.81,786.80,768.94,934.24
1971,663.19,663.60,616.73,697.29
1972,767.55,766.30,698.61,817.99
1973,731.71,687.40,669.94,778.54
1974,1060.88,1051.70,991.88,1111.24
1975,747.13,763.20,719.33,766.34
1976,568.87,531.50,524.20,602.55
1977,906.68,899.50,825.58,966.32
1978,785.15,775.30,701.34,847.04
1979,931.93,920.80,847.57,994.72
1980,954.06,938.00,861.18,1022.65
1981,1082.91,1026.60,973.84,1163.97
1982,888.79,862.70,783.39,966.82
1983,860.57,783.60,753.71,941.14
1984,983.37,942.20,885.00,1056.59
1985,784.25,776.70,731.30,823.21
1986,960.09,948.60,862.09,1031.94
1987,996.69,966.90,890.16,1075.24
1988,1047.28,1024.90,924.29,1137.74
1989,782.05,736.90,671.76,863.65
1990,799.48,749.20,708.19,867.66
1991,769.75,781.20,721.90,804.68
1992,897.53,890.00,844.65,936.97
1993,949.55,931.40,873.14,1006.01
1994,921.62,904.10,869.89,960.49
1995,850.92,804.70,757.91,920.94
1996,651.66,624.80,601.27,689.31
1997,799.88,773.00,717.32,861.54
1998,1024.54,1010.40,969.82,1066.13
1999,974.01,955.40,901.69,1028.11
2000,1028.77,1000.70,936.33,1097.29
2001,1072.27,1013.90,966.34,1150.97
2002,1017.27,991.20,934.49,1078.95
2003,720.14,696.40,659.37,765.40
2004,868.80,835.80,813.74,910.77
2005,854.39,865.50,819.45,880.42
2006,878.63,861.20,808.85,930.20
2007,973.35,959.20,889.51,1036.09
2008,923.04,890.20,852.85,975.82
2009,872.55,849.30,791.70,932.65
2010,891.94,853.60,814.84,949.22
2011,782.81,759.70,739.03,815.37
2012,987.64,976.50,922.55,1035.19
2013,874.27,846.00,783.17,941.66
2014,880.96,851.00,821.45,924.73
2015,832.64,815.30,794.65,860.90
2016,937.09,915.60,857.71,995.87
2017,866.97,840.30,804.54,913.44
2018,766.03,725.20,695.32,817.92
2019,861.58,830.80,807.35,901.88
2020,832.86,801.70,789.72,864.49
