Variable:,pr
,"Gambia, The","Central River","Lower River","North Bank","Upper River","West Coast","Kanifing Municipal Council"
1901,1226.28,1106.87,1358.10,1236.25,1125.21,1369.68,1360.60
1902,833.87,759.34,882.10,797.95,890.75,901.54,912.40
1903,960.62,870.59,1016.81,935.19,1009.21,1036.53,1036.40
1904,1012.76,918.27,1082.72,979.90,1054.53,1101.85,1110.00
1905,1222.13,1148.29,1254.57,1160.37,1314.80,1302.35,1354.00
1906,1541.92,1395.50,1645.91,1530.24,1481.18,1739.26,1811.30
1907,860.86,760.09,919.49,838.61,894.68,959.25,979.30
1908,1074.00,952.29,1170.75,1045.86,1092.16,1197.17,1200.00
1909,1215.67,1066.40,1320.04,1224.12,1118.66,1419.67,1492.80
1910,1038.58,972.29,1097.02,996.72,1100.30,1092.19,1081.10
1911,868.11,772.98,919.28,838.46,922.88,955.72,979.00
1912,891.47,821.04,945.68,872.64,906.78,962.58,972.10
1913,723.43,677.01,751.84,681.23,798.89,758.16,764.30
1914,1202.70,1108.10,1289.64,1169.87,1224.56,1296.80,1298.90
1915,1247.16,1101.89,1353.63,1258.12,1133.12,1457.22,1528.50
1916,1120.61,1054.36,1193.78,1094.78,1133.17,1183.98,1167.50
1917,1089.81,991.06,1166.68,1072.40,1082.96,1201.93,1221.70
1918,1336.38,1223.69,1419.80,1300.68,1350.34,1468.67,1491.90
1919,998.41,898.72,1073.60,979.12,1004.54,1102.33,1110.60
1920,1065.25,962.34,1138.41,1027.02,1138.93,1145.21,1140.10
1921,1001.97,900.17,1102.63,977.39,987.80,1119.02,1111.10
1922,1106.83,961.68,1214.30,1106.81,1054.01,1279.94,1311.20
1923,1029.86,886.40,1105.95,1029.50,1042.40,1162.64,1176.60
1924,1303.43,1103.62,1433.74,1386.69,1067.09,1585.09,1633.00
1925,1105.81,988.74,1198.43,1093.59,1108.61,1216.48,1215.40
1926,969.59,896.67,1045.20,918.13,1047.13,1019.43,998.10
1927,1491.08,1290.66,1613.87,1539.79,1327.91,1756.57,1816.10
1928,1309.26,1172.92,1393.54,1317.80,1237.89,1486.22,1538.80
1929,1247.43,1122.36,1334.46,1232.89,1240.03,1385.51,1423.00
1930,1068.60,970.16,1127.74,1048.46,1094.45,1165.01,1186.20
1931,905.68,783.39,993.76,904.43,867.26,1046.77,1071.60
1932,1162.29,1003.95,1258.08,1120.85,1183.55,1353.87,1391.00
1933,1314.30,1221.74,1383.49,1244.53,1428.03,1388.51,1387.60
1934,1011.05,891.53,1076.72,976.38,1069.25,1128.52,1147.80
1935,1323.10,1208.18,1361.53,1286.26,1406.10,1432.08,1453.40
1936,1430.89,1258.85,1566.96,1445.48,1348.58,1621.41,1647.00
1937,1056.80,952.13,1097.99,1016.99,1157.84,1138.11,1144.30
1938,1149.26,993.25,1230.62,1164.55,1117.27,1314.21,1360.10
1939,1075.49,963.38,1162.85,1058.49,1069.48,1195.72,1220.20
1940,1105.39,960.14,1157.56,1071.74,1229.84,1207.90,1217.20
1941,798.43,798.09,794.80,674.25,1054.16,745.85,745.60
1942,1041.03,926.76,1113.77,999.15,1120.51,1137.68,1140.80
1943,1275.55,1097.54,1378.98,1285.21,1226.08,1476.20,1515.30
1944,953.64,831.14,1033.08,976.41,906.19,1073.46,1092.30
1945,1059.92,1000.17,1124.95,1013.40,1114.17,1113.55,1111.20
1946,1143.11,1084.31,1231.08,1086.68,1237.18,1159.00,1121.60
1947,1108.69,955.30,1273.30,1122.45,1010.18,1273.55,1247.10
1948,1029.19,934.25,1093.72,1019.53,1023.63,1130.84,1172.10
1949,996.06,916.76,1084.09,1021.28,889.19,1103.00,1104.10
1950,1475.29,1283.65,1580.15,1513.72,1418.29,1663.03,1673.70
1951,1313.42,1244.93,1336.54,1232.62,1463.06,1367.41,1418.80
1952,1339.99,1256.73,1345.83,1312.29,1414.62,1423.69,1482.50
1953,1202.14,1100.36,1308.37,1183.52,1194.99,1295.04,1313.10
1954,1201.27,1053.89,1312.35,1190.01,1167.70,1371.31,1394.70
1955,1317.83,1175.42,1440.11,1328.04,1242.02,1478.54,1493.40
1956,1160.87,962.38,1273.92,1160.26,1139.45,1373.37,1415.80
1957,1238.21,1165.85,1205.75,1191.31,1363.82,1315.79,1385.80
1958,1319.34,1247.64,1408.69,1242.50,1352.92,1427.25,1466.70
1959,998.15,931.48,1039.80,948.59,1100.29,1040.02,1032.30
1960,1077.74,953.65,1215.25,1060.68,1070.53,1179.62,1162.40
1961,1098.11,1022.62,1134.43,987.55,1311.39,1139.15,1156.70
1962,990.79,871.65,1060.44,949.03,1023.63,1131.77,1199.90
1963,1021.21,909.94,1131.73,1008.74,1020.94,1108.45,1088.70
1964,1172.68,1077.13,1140.07,1109.47,1413.13,1202.73,1233.10
1965,1172.81,1030.34,1298.49,1110.95,1184.32,1356.94,1379.80
1966,1223.37,1121.93,1296.73,1241.89,1139.33,1357.44,1366.60
1967,1301.26,1078.62,1459.37,1355.69,1139.74,1565.99,1594.00
1968,699.31,652.30,704.65,652.74,824.66,713.57,711.90
1969,1212.16,1120.57,1346.29,1219.93,1106.98,1319.25,1317.00
1970,808.82,650.69,898.96,791.84,827.67,974.13,997.80
1971,969.96,864.62,972.79,988.62,1035.78,1032.20,1057.00
1972,670.78,698.09,683.52,582.78,829.99,603.87,583.10
1973,782.38,653.88,867.59,747.48,825.13,912.75,924.60
1974,866.74,764.80,937.44,829.60,898.01,982.65,989.20
1975,1152.68,1035.16,1257.46,1103.41,1193.62,1271.95,1269.70
1976,925.51,762.80,1053.54,912.99,882.83,1113.24,1138.60
1977,702.50,682.30,734.77,651.10,794.02,698.80,693.00
1978,1081.51,952.24,1122.88,1024.60,1177.31,1226.11,1260.50
1979,952.33,932.52,970.91,918.31,936.81,1023.44,1050.20
1980,695.23,723.48,692.64,637.96,784.15,657.64,659.20
1981,868.35,811.23,946.32,830.52,935.88,885.37,868.00
1982,763.33,702.26,816.32,740.71,832.53,778.07,770.10
1983,586.34,562.96,609.13,533.61,680.81,591.22,587.80
1984,769.97,729.71,785.99,723.73,899.43,761.03,763.60
1985,849.20,740.77,911.75,839.27,846.44,971.95,966.70
1986,920.99,976.77,920.00,833.19,1076.38,830.34,809.90
1987,915.45,884.39,978.81,852.96,1007.94,918.42,899.20
1988,1056.77,965.07,1133.75,1042.62,1048.57,1155.55,1167.60
1989,982.37,870.62,1030.27,978.82,987.77,1102.22,1148.50
1990,740.55,651.40,826.39,718.83,732.59,839.49,824.30
1991,747.11,707.62,802.43,674.91,866.19,754.72,749.50
1992,905.42,826.94,990.05,866.50,951.59,964.67,927.90
1993,865.22,793.86,969.10,821.75,883.09,932.89,912.90
1994,1015.03,974.59,1084.89,926.28,1169.39,1004.79,974.90
1995,903.54,821.23,958.12,897.31,934.22,958.36,964.10
1996,826.01,783.98,870.56,745.41,944.62,859.31,847.70
1997,870.90,784.96,935.63,846.10,915.44,937.95,917.20
1998,880.24,822.89,935.06,826.70,972.91,911.90,902.40
1999,1191.95,1075.33,1283.47,1166.98,1208.78,1307.32,1301.70
2000,962.38,849.00,1023.62,928.67,1033.77,1059.99,1094.50
2001,834.41,761.31,900.00,800.31,869.83,903.83,905.30
2002,645.27,581.09,686.13,619.61,691.54,698.81,709.20
2003,1039.07,983.24,1092.20,977.61,1164.42,1052.20,1023.70
2004,800.49,755.79,835.73,737.94,931.38,808.37,789.80
2005,1133.26,1031.49,1203.39,1104.09,1165.34,1234.09,1259.00
2006,966.77,852.95,1052.68,958.23,950.59,1088.51,1109.20
2007,862.59,801.97,932.74,838.59,864.08,927.36,922.00
2008,1119.37,1021.17,1207.42,1089.36,1127.63,1225.15,1227.70
2009,1061.03,968.51,1131.96,1032.32,1077.91,1164.06,1173.70
2010,1140.31,1066.95,1187.29,1097.07,1215.79,1201.44,1215.50
2011,855.49,792.33,899.82,814.52,940.65,893.06,887.90
2012,1181.08,1083.47,1241.58,1151.51,1206.90,1291.47,1311.40
2013,988.20,882.45,1059.08,962.77,1017.87,1092.18,1106.70
2014,910.37,860.27,972.03,860.33,971.93,950.32,932.30
2015,984.87,876.19,1056.05,967.02,1013.05,1083.67,1094.80
2016,986.24,908.04,1051.97,952.69,1029.64,1055.88,1051.00
2017,984.43,912.72,1047.97,925.82,1077.29,1037.33,1023.80
2018,879.57,817.43,931.24,839.15,943.49,927.24,922.40
2019,936.15,834.86,999.60,909.96,978.03,1029.33,1042.40
2020,998.97,900.39,1068.99,981.34,1019.60,1092.47,1098.80
