Variable:,pr
,Mozambique,"Cabo Delgado",Gaza,Inhambane,Manica,Nampula,Niassa,Sofala,Tete,Zambezia,Maputo,"Lago niassa"
1901,1109.04,865.22,886.56,952.52,1153.10,1053.19,1123.57,1438.68,902.14,1457.57,1356.68,1499.27
1902,960.22,887.94,535.44,814.85,949.53,1036.78,1102.59,1220.53,843.20,1242.32,356.22,1505.44
1903,880.38,1043.96,531.77,781.54,763.52,1014.01,1035.98,965.52,675.54,1088.63,375.25,1362.54
1904,1163.97,1124.04,624.74,881.42,1137.78,1104.93,1334.28,1517.04,952.47,1698.40,606.16,1696.49
1905,931.99,892.89,574.00,763.48,726.68,1045.16,1162.43,977.05,773.24,1257.67,635.86,1440.17
1906,974.64,1087.22,629.94,835.56,930.20,1025.69,1041.79,1164.82,772.12,1269.25,629.72,1337.11
1907,1192.15,1089.24,747.58,1034.12,1361.31,1076.26,1227.01,1612.93,1029.02,1591.57,795.75,1524.78
1908,983.10,1067.57,541.18,679.30,712.85,1083.70,1224.55,896.44,883.21,1466.63,525.33,1524.14
1909,949.53,1008.87,762.70,1005.96,844.19,1006.76,979.46,1092.72,686.34,1125.63,990.17,1203.34
1910,1028.94,991.33,742.75,1037.81,955.39,1029.72,1123.41,1260.02,829.49,1245.68,860.80,1436.24
1911,1067.29,988.78,693.13,887.01,1081.94,1077.80,1034.73,1399.52,870.96,1586.79,688.52,1226.80
1912,851.30,1030.96,486.47,668.70,660.23,1017.96,914.71,905.72,751.45,1147.86,487.12,1060.27
1913,983.26,1069.14,615.47,745.34,830.21,1104.57,1170.51,1045.64,772.59,1301.39,764.94,1523.84
1914,1016.81,976.21,746.27,1037.15,1000.36,920.00,1086.23,1264.52,795.79,1342.73,682.57,1280.23
1915,929.74,966.06,707.61,904.62,886.06,850.82,1037.02,1069.19,734.14,1111.26,956.64,1279.94
1916,1046.32,1383.37,476.70,649.27,827.67,1274.46,1267.39,1076.49,883.06,1428.58,383.61,1500.83
1917,1026.87,803.25,799.81,1069.91,1142.48,794.42,1015.17,1497.04,849.67,1302.36,977.93,1391.46
1918,1123.06,1021.98,889.66,1181.88,1353.33,1006.30,1009.52,1570.00,890.72,1346.71,1115.22,1142.82
1919,911.37,921.45,568.77,700.78,930.32,843.36,1006.55,1122.56,834.89,1207.65,610.35,1167.29
1920,1086.30,1028.59,678.57,906.53,977.51,1080.37,1168.81,1284.17,934.39,1566.81,859.55,1406.08
1921,1041.35,1030.29,716.42,901.18,954.21,1046.79,1148.65,1217.26,913.69,1341.60,802.05,1367.96
1922,803.01,995.99,463.67,569.11,551.15,1001.87,997.84,762.56,607.84,1078.68,557.29,1185.21
1923,1127.43,1076.50,800.67,1031.05,1238.15,974.88,1165.07,1500.75,963.37,1429.23,830.29,1487.43
1924,844.47,706.36,750.43,817.17,905.83,822.92,781.10,1128.84,637.87,1126.89,716.35,917.12
1925,1278.02,1178.73,745.10,942.67,1438.64,1239.36,1372.68,1724.33,1103.62,1744.82,775.92,1688.33
