Variable:,pr
1901,1646.80
1902,1564.00
1903,1710.20
1904,1638.00
1905,1638.00
1906,1638.00
1907,1341.20
1908,1650.10
1909,1510.00
1910,1487.80
1911,1699.40
1912,1587.00
1913,1540.70
1914,1723.10
1915,1630.40
1916,1651.90
1917,1692.80
1918,1575.30
1919,1591.80
1920,1534.50
1921,1489.90
1922,1452.40
1923,1575.00
1924,1633.20
1925,1579.50
1926,1481.50
1927,1589.70
1928,1543.70
1929,1612.30
1930,1410.70
1931,1570.40
1932,1700.20
1933,1262.00
1934,1708.50
1935,1322.10
1936,1204.10
1937,2145.20
1938,1314.80
1939,1785.30
1940,1956.80
1941,1589.50
1942,1296.20
1943,1406.40
1944,1402.30
1945,1340.80
1946,1272.90
1947,1530.70
1948,1606.80
1949,1304.10
1950,1407.90
1951,1468.00
1952,1336.30
1953,1159.50
1954,1424.00
1955,1610.30
1956,1721.80
1957,1569.00
1958,1340.20
1959,1449.20
1960,1256.70
1961,1846.90
1962,1424.30
1963,1377.50
1964,1395.50
1965,1846.20
1966,1289.30
1967,1347.70
1968,1707.70
1969,1853.80
1970,1493.20
1971,1604.70
1972,1613.40
1973,1952.20
1974,1826.90
1975,1425.90
1976,1758.80
1977,1613.80
1978,1738.80
1979,1538.30
1980,1949.70
1981,1752.10
1982,1623.40
1983,1922.40
1984,1696.80
1985,1507.00
1986,1506.40
1987,1426.90
1988,1673.90
1989,1825.30
1990,1643.80
1991,1874.60
1992,1488.90
1993,1332.20
1994,1625.50
1995,1384.70
1996,1690.20
1997,1007.20
1998,1107.80
1999,1233.10
2000,1414.00
2001,1284.20
2002,1397.80
2003,1111.90
2004,880.00
2005,1186.70
2006,1267.10
2007,966.90
2008,1635.40
2009,1339.50
2010,1524.40
2011,1609.60
2012,1599.40
2013,1054.40
2014,1640.60
2015,1643.10
2016,1675.50
2017,1498.50
2018,1612.80
2019,1274.90
2020,1176.00
