Variable:,pr
,"Korea, Democratic People's Republic of",Chagang-do,Kaesong-si,Kangwon-do,Hamgyong-bukto,Hwanghae-bukto,P'yongan-bukto,P'yongyang-si,Hamgyong-namdo,Hwanghae-namdo,P'yongan-namdo,Yanggang-do
1901,755.49,922.39,541.80,609.01,639.42,524.24,762.69,522.32,928.34,498.06,648.02,1019.16
1902,1006.94,1007.27,1043.88,1052.61,935.87,973.51,924.29,881.61,1104.55,912.62,952.42,1132.40
1903,1196.01,1108.62,1543.31,1589.99,796.72,1397.42,1080.73,1218.55,1304.04,1251.68,1279.81,1123.64
1904,922.15,983.50,920.04,891.81,774.64,853.23,893.43,789.50,1036.79,825.88,865.77,1081.25
1905,1119.06,1031.06,1477.53,1481.16,788.14,1307.72,983.77,1112.87,1221.26,1144.16,1143.07,1103.94
1906,794.81,829.58,914.75,947.05,546.03,846.75,809.11,779.77,844.79,765.05,861.66,754.48
1907,865.71,901.34,876.21,898.94,699.27,850.06,851.07,802.85,935.87,859.59,862.47,925.11
1908,940.23,964.08,1058.97,1101.16,673.21,977.93,883.88,881.05,1054.45,868.57,963.21,981.00
1909,1048.67,1062.46,1089.49,1136.41,857.09,1027.30,968.23,937.02,1192.00,925.81,1033.80,1170.32
1910,964.57,939.48,1085.04,1106.43,888.89,954.08,790.69,826.12,1061.01,859.92,907.05,1114.48
1911,1116.66,1184.14,1319.76,1306.02,781.60,1166.59,1169.01,1057.00,1179.12,1084.85,1146.47,1095.31
1912,977.46,963.18,1082.34,1132.75,820.47,994.91,875.51,882.52,1090.35,861.01,967.15,1057.99
1913,779.28,739.39,863.29,892.59,744.71,791.00,596.71,676.97,855.44,730.88,722.38,905.07
1914,1216.16,1221.39,1342.55,1347.98,939.77,1282.20,1191.45,1182.35,1314.42,1196.73,1259.27,1234.24
1915,1136.95,1091.93,1271.76,1305.63,983.72,1179.51,1022.60,1064.27,1245.76,1041.58,1141.56,1205.85
1916,1078.07,988.30,1410.29,1410.05,799.03,1225.13,928.29,1058.84,1205.98,1051.26,1119.14,1054.96
1917,845.36,837.09,868.32,928.66,746.11,832.59,769.55,766.26,938.40,767.26,838.48,912.27
1918,1098.29,1099.72,1174.54,1221.23,921.30,1086.81,1018.05,993.51,1212.90,963.26,1089.96,1218.65
1919,962.85,903.48,1083.53,1181.06,852.48,984.78,782.84,855.41,1117.28,817.52,932.62,1038.64
1920,979.74,851.03,1307.12,1315.85,713.77,1176.60,848.03,1018.50,1080.80,1043.99,1034.79,898.30
1921,877.27,888.86,1044.31,1054.84,677.97,918.11,839.37,792.34,958.56,805.28,868.35,897.95
1922,1298.96,1280.27,1489.08,1538.36,935.21,1423.25,1180.80,1296.61,1440.50,1238.35,1377.68,1324.47
1923,1113.45,1210.96,1254.77,1223.01,742.31,1173.05,1242.18,1095.39,1162.75,1059.73,1176.13,1088.88
1924,799.48,826.33,934.50,926.28,576.02,849.94,805.86,766.26,856.71,774.94,831.95,786.38
1925,1199.60,1053.82,1639.22,1618.99,883.62,1455.07,1007.01,1244.16,1316.69,1228.43,1268.77,1120.61
1926,1120.48,1061.00,1416.46,1375.67,761.03,1310.94,1060.41,1180.23,1202.09,1192.08,1211.40,1057.99
1927,1154.96,1162.10,1086.73,1192.57,1092.89,1043.49,977.58,976.94,1331.77,875.71,1110.83,1409.17
1928,1093.43,1089.12,1062.22,1154.54,1070.63,1007.03,958.92,931.62,1228.25,863.15,1033.07,1282.39
1929,971.74,1044.99,1009.30,1029.05,776.47,945.25,1010.70,874.78,1044.82,826.62,980.01,1039.93
1930,1079.31,1007.66,1448.48,1400.12,758.04,1274.64,992.89,1099.03,1148.12,1131.58,1128.24,1023.09
1931,1159.62,1135.40,1339.64,1352.73,937.15,1221.85,1036.93,1085.63,1275.51,1086.05,1157.88,1237.52
1932,947.56,955.18,976.32,1014.12,841.45,934.96,917.33,858.75,1015.05,874.61,935.90,1013.70
1933,1141.06,1116.51,1386.81,1408.55,852.91,1227.25,1022.70,1071.63,1273.98,1039.92,1165.92,1183.33
1934,1261.37,1238.99,1523.32,1507.83,945.52,1360.99,1108.45,1171.18,1403.22,1206.96,1259.18,1354.19
1935,1057.44,1012.65,1068.25,1153.21,966.14,1025.83,890.49,938.94,1199.17,917.93,1031.54,1232.20
1936,1195.76,1152.55,1511.41,1440.84,905.23,1354.70,1122.39,1211.24,1269.23,1197.53,1244.02,1171.49
1937,976.94,1012.36,1142.77,1101.28,675.46,1061.34,1055.38,969.82,1022.56,968.14,1034.21,938.84
1938,1135.49,1142.64,1126.83,1218.07,959.86,1113.83,1102.29,1032.40,1272.79,992.63,1134.87,1220.79
1939,1007.78,1124.27,829.10,939.97,925.38,827.33,1012.84,805.33,1148.67,735.06,955.95,1193.79
1940,974.48,992.01,1081.50,1100.91,721.70,1049.29,982.86,986.44,1031.47,939.93,1023.95,976.32
1941,1044.25,986.78,1264.45,1276.02,875.03,1096.27,893.96,936.11,1182.24,960.10,1012.17,1109.56
1942,1081.10,1128.93,1178.77,1177.62,815.79,1096.32,1116.00,1009.73,1167.37,998.55,1104.27,1124.40
1943,974.22,979.85,890.96,995.36,960.89,855.95,861.88,801.46,1108.86,751.59,919.22,1170.87
1944,915.45,889.84,1065.81,1049.80,738.46,982.17,850.23,869.46,986.39,906.85,921.18,951.12
1945,1178.05,1113.11,1445.90,1506.08,805.23,1348.23,1082.14,1191.30,1285.11,1206.73,1258.08,1134.99
1946,1013.40,1003.70,1077.82,1121.92,993.12,958.32,911.43,825.26,1097.10,871.16,923.49,1158.00
1947,1166.36,1197.20,1290.03,1303.33,869.32,1233.83,1178.68,1162.21,1240.74,1121.14,1234.81,1163.03
