Variable:,pr
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
1901,459.84,540.75,459.18,403.40,465.12,591.37,471.06,521.61,488.32,568.72,439.79,423.72,435.47,634.54,374.69,357.81,342.69,486.89,476.00,417.93,376.14,473.35
1902,541.55,488.20,574.20,522.52,490.30,632.68,542.58,576.45,491.23,559.49,517.74,584.53,525.32,533.96,512.95,484.93,491.25,599.95,540.13,492.72,539.10,618.37
1903,618.60,554.07,700.89,660.82,554.23,739.69,624.85,668.21,539.17,631.17,521.33,714.56,614.17,642.33,632.69,578.61,621.70,738.70,606.41,609.10,687.61,728.68
1904,526.66,531.13,523.79,510.41,514.66,649.38,524.90,610.67,536.93,605.37,477.12,585.99,557.68,578.64,522.39,484.18,491.38,555.28,524.77,497.87,545.65,604.95
1905,542.92,544.78,579.91,548.23,532.66,635.49,567.00,572.09,520.63,584.08,494.90,567.93,528.63,621.44,526.67,503.53,527.53,579.72,544.40,521.39,556.28,562.45
1906,538.68,525.44,613.10,560.65,498.41,620.74,579.57,557.54,499.02,569.76,485.88,578.34,500.73,592.05,476.35,441.22,477.66,614.49,517.83,516.56,528.82,585.44
1907,605.68,523.37,696.57,664.70,529.33,663.42,637.00,617.84,540.95,585.95,506.26,664.75,579.00,570.44,542.23,500.10,538.05,753.55,612.50,660.73,592.62,694.34
1908,494.14,562.15,514.85,479.93,487.61,655.97,493.91,585.87,509.34,616.19,439.38,531.70,498.32,622.49,485.16,458.11,467.89,561.60,458.61,466.31,516.00,555.10
1909,636.80,572.61,718.15,625.57,501.52,740.22,646.99,652.16,544.49,647.23,581.84,689.07,558.76,633.03,520.39,491.58,529.87,811.33,632.67,615.53,605.65,764.35
1910,583.61,715.64,650.17,604.66,645.09,808.33,523.16,716.73,674.33,761.98,463.04,689.16,634.36,763.77,625.42,590.98,612.15,730.83,525.29,557.47,667.68,716.08
1911,530.38,512.59,504.16,473.27,458.92,702.94,480.32,614.55,477.38,606.36,542.24,563.90,516.83,615.06,482.01,456.64,477.45,570.56,517.96,444.03,523.04,649.13
1912,656.03,641.04,756.73,715.04,657.25,865.24,649.80,759.09,656.98,737.93,534.17,752.21,698.15,734.84,653.33,601.56,619.82,780.36,594.34,684.65,681.45,807.17
1913,533.22,512.19,570.51,554.22,525.37,633.01,563.02,587.17,525.20,582.54,463.87,567.44,544.18,562.51,517.82,470.38,485.97,567.20,538.61,537.15,540.96,583.87
1914,497.51,538.25,459.79,442.58,451.77,648.75,508.08,566.61,480.97,596.22,486.81,432.60,433.20,614.86,374.55,348.23,357.61,509.58,538.15,485.55,397.13,551.51
1915,560.34,524.00,643.90,619.87,512.11,637.60,611.06,576.89,510.61,598.17,454.76,645.87,550.80,583.16,553.12,526.87,556.49,649.23,547.43,594.79,603.00,611.97
1916,631.48,672.89,764.18,724.79,636.54,795.07,661.09,701.04,650.32,731.39,483.21,721.36,656.89,759.68,642.87,594.25,615.52,772.00,565.66,666.17,678.93,725.31
1917,532.00,493.59,536.69,498.76,423.15,675.08,544.21,557.05,445.55,567.19,504.89,544.79,462.09,594.23,447.16,415.11,433.52,594.65,550.27,506.00,487.50,636.12
1918,549.65,514.56,616.78,555.36,480.75,657.46,562.59,596.53,500.14,582.98,471.09,665.63,574.84,590.08,591.83,531.05,546.66,638.67,532.19,500.46,604.76,636.56
1919,569.97,559.22,591.11,600.63,493.83,673.46,572.86,597.09,524.29,607.13,520.46,616.07,538.90,611.61,540.02,503.73,533.09,590.04,587.75,602.87,580.73,611.85
1920,600.96,532.72,658.40,550.75,449.20,710.88,568.16,606.78,473.99,604.88,611.90,630.19,516.95,635.92,495.63,449.03,481.48,742.01,610.11,492.84,550.32,707.89
1921,638.02,465.73,623.33,620.96,400.04,661.15,746.34,556.81,413.12,543.01,669.00,596.34,484.68,593.82,503.01,453.81,490.82,555.17,730.87,659.46,562.88,590.97
1922,553.07,528.70,583.87,564.34,496.43,596.89,562.78,532.71,489.16,561.44,546.33,581.70,517.64,607.56,549.50,509.00,533.25,553.18,572.88,534.86,572.14,514.57
1923,624.64,615.14,662.20,629.17,575.37,809.95,618.21,704.83,586.62,694.88,555.72,695.48,602.22,682.58,597.04,555.11,582.70,721.05,592.53,615.71,646.33,766.80
1924,641.89,567.08,767.76,641.24,467.79,725.64,661.95,657.18,522.22,642.39,550.49,763.01,585.15,597.14,585.04,520.38,568.31,846.82,635.82,604.38,673.78,786.98
1925,600.36,621.46,595.61,595.58,512.60,690.35,652.33,608.62,558.86,673.56,574.83,527.73,500.62,678.16,479.44,464.35,495.78,593.54,647.76,643.94,520.09,591.66
1926,596.11,588.27,669.75,599.83,506.03,684.35,623.06,613.26,551.68,631.68,545.61,621.84,544.21,649.15,506.99,454.96,493.90,694.55,594.02,591.81,559.32,650.81
1927,700.58,699.21,838.45,784.13,608.14,898.72,727.43,782.21,650.23,782.44,509.13,840.11,703.35,817.97,682.06,616.43,676.36,903.96,658.76,742.41,762.44,900.85
1928,631.30,641.70,647.58,602.61,624.93,783.97,626.22,694.39,622.96,706.25,585.33,650.68,609.24,713.66,571.02,531.26,538.64,705.56,633.83,627.88,580.57,721.52
1929,647.74,501.20,714.25,698.46,539.45,685.14,708.36,596.78,520.29,585.94,588.75,667.09,570.94,585.61,574.91,528.32,550.64,738.93,673.04,720.29,611.06,691.76
1930,605.07,675.63,684.14,611.62,587.40,792.86,569.11,688.83,611.78,730.63,498.26,712.63,615.89,743.21,628.88,578.17,593.02,759.43,573.13,575.02,662.50,727.44
1931,617.13,594.26,626.57,613.15,504.57,707.78,630.28,625.60,533.33,646.98,596.98,611.90,551.93,679.65,531.86,495.78,518.61,610.61,671.23,655.32,569.06,617.29
1932,601.38,526.84,577.78,543.79,498.22,663.95,540.26,566.58,491.93,579.52,664.06,603.24,523.84,624.06,545.14,514.42,527.01,656.96,625.55,528.22,571.25,658.48
1933,483.29,536.55,483.41,474.00,479.53,570.27,517.99,497.05,490.87,543.75,456.45,435.22,430.65,575.72,429.18,403.60,418.79,479.08,503.68,485.91,441.03,489.32
1934,669.57,617.07,772.83,687.84,588.93,780.49,644.62,682.44,616.99,689.01,600.97,781.78,652.03,681.56,656.36,584.76,634.59,835.14,646.44,623.83,723.20,784.26
1935,714.50,656.20,800.38,756.61,635.69,801.13,720.14,692.20,621.77,710.67,675.35,761.06,628.31,726.19,639.12,601.09,640.27,825.45,694.74,742.43,717.99,780.44
1936,597.91,589.51,650.19,599.82,587.47,678.48,568.72,641.52,606.99,655.18,566.15,693.53,622.10,624.39,613.20,571.56,594.34,687.47,563.73,514.43,654.83,665.21
1937,590.13,565.41,688.00,667.11,645.26,647.29,638.23,630.30,619.53,621.83,470.82,672.62,652.17,627.36,610.69,570.98,580.94,671.66,543.36,646.75,617.68,647.41
1938,655.94,481.05,722.99,661.86,415.71,704.90,719.36,577.31,420.62,556.49,642.13,664.28,510.37,585.56,548.21,519.56,547.93,746.83,692.50,654.84,620.26,718.94
1939,560.38,574.44,637.30,570.40,469.78,672.84,541.68,609.46,525.99,619.21,516.54,610.74,527.99,623.97,496.59,463.57,506.68,669.97,540.31,499.06,564.52,653.67
1940,581.08,522.66,620.85,613.25,456.78,712.55,639.43,607.34,476.82,607.52,536.63,570.21,489.36,609.44,463.90,440.30,481.06,599.25,592.90,634.65,531.16,623.65
1941,523.16,504.48,541.13,570.20,461.92,607.73,605.67,504.52,463.03,548.60,472.60,485.78,431.21,566.32,424.40,424.61,444.99,512.40,549.98,586.88,472.88,525.35
1942,557.72,531.52,572.55,507.17,467.28,652.31,560.37,558.56,489.16,580.58,592.66,546.61,485.19,624.13,463.35,432.75,460.19,586.11,565.73,477.34,506.82,572.13
1943,591.48,574.97,614.72,559.14,510.86,759.32,590.60,657.86,531.52,655.29,554.78,626.84,551.55,656.21,538.17,523.60,542.70,648.68,600.87,529.10,579.31,682.31
1944,692.12,611.08,860.27,818.41,590.96,761.52,733.00,685.79,592.32,692.17,562.43,828.27,652.55,667.04,684.54,642.63,697.22,841.13,662.60,757.66,775.69,735.40
1945,655.38,652.17,682.55,748.46,585.21,824.76,702.48,709.00,614.15,730.32,556.41,682.45,593.44,746.64,584.65,573.05,617.89,649.23,662.58,755.52,658.28,714.81
1946,624.18,635.72,679.12,623.88,565.85,802.62,625.61,707.25,603.41,715.02,559.26,655.02,622.17,714.58,570.18,516.92,526.30,715.67,596.95,606.05,581.25,743.02
1947,473.44,468.20,442.33,427.50,457.60,516.49,500.81,472.24,464.09,509.83,494.05,405.83,404.10,516.78,358.07,354.43,365.47,418.56,535.52,484.89,392.99,432.18
1948,591.02,519.03,633.08,564.65,490.63,653.97,605.74,576.31,493.64,584.96,575.68,601.46,515.52,582.92,521.88,499.55,506.23,683.77,616.30,562.78,558.63,631.17
1949,642.98,590.49,695.17,642.43,522.49,776.79,635.90,660.72,535.87,670.93,597.74,682.32,564.92,673.18,571.59,542.44,574.35,740.73,661.93,604.14,639.46,758.43
1950,660.46,651.28,759.60,704.39,577.03,849.16,725.40,727.96,604.61,731.49,506.40,720.95,627.87,755.81,576.45,530.90,559.54,837.75,625.88,715.27,624.98,845.54
1951,582.28,547.59,665.01,573.76,463.97,715.10,551.04,615.40,516.80,613.86,522.15,674.03,563.18,657.06,527.85,442.86,476.47,762.44,561.72,560.85,579.18,707.35
1952,621.15,712.11,639.26,624.20,658.45,759.81,634.46,708.90,681.92,759.80,570.32,635.63,612.89,740.37,561.44,542.78,546.53,643.14,603.24,652.33,586.74,627.46
1953,627.32,467.15,700.48,619.09,484.32,692.69,679.95,628.86,495.99,558.16,569.96,655.08,564.40,519.06,491.90,436.82,470.76,741.06,674.94,623.70,545.00,755.42
1954,670.24,649.90,741.55,724.96,521.73,903.63,653.78,751.08,570.40,761.97,569.26,739.93,618.35,813.62,627.59,591.48,631.56,798.24,642.48,720.33,693.95,796.93
1955,528.64,516.98,512.23,520.97,454.70,617.10,565.18,512.67,445.96,551.96,519.45,503.47,427.46,611.68,429.88,409.93,429.36,508.29,575.52,566.19,476.92,526.03
1956,529.89,477.41,591.63,593.90,474.32,618.76,594.27,519.02,445.31,527.02,449.57,543.04,463.68,582.61,485.48,467.74,494.22,572.53,532.53,593.57,531.48,568.62
1957,656.14,535.91,754.70,699.12,542.66,752.33,678.11,668.47,559.44,632.86,596.46,708.98,594.43,622.29,586.57,556.28,608.73,745.83,657.44,652.19,661.19,739.95
1958,594.97,607.57,651.27,616.54,556.19,728.17,563.96,660.86,594.69,667.96,523.70,723.50,641.85,714.05,634.45,565.13,604.95,661.22,563.08,569.36,666.53,667.55
1959,544.12,483.91,596.35,565.29,374.21,571.53,590.58,512.06,412.61,510.34,506.16,572.96,454.25,539.33,438.75,410.69,442.50,638.68,563.80,592.49,499.54,575.76
1960,695.29,713.11,828.93,801.24,751.94,800.99,737.53,741.50,748.88,763.74,508.80,807.24,747.50,789.25,743.33,723.20,741.64,826.47,647.72,791.85,788.98,777.33
1961,673.71,609.82,707.93,669.47,507.73,725.23,692.87,675.57,579.81,677.05,662.33,664.97,589.16,672.71,569.17,559.00,594.18,715.55,718.63,668.87,636.03,680.07
1962,611.90,559.38,653.49,595.87,517.03,778.63,618.14,644.68,510.60,638.24,539.11,649.79,575.44,678.47,572.95,550.38,550.42,758.81,594.20,597.55,587.68,785.54
1963,581.00,557.19,641.45,551.69,495.48,767.16,565.73,627.98,517.46,648.96,535.13,627.69,532.10,681.80,513.45,465.29,489.86,708.52,572.75,529.04,562.14,684.65
1964,599.55,439.88,639.29,561.73,384.07,635.54,671.93,533.57,399.88,505.09,623.56,569.71,442.94,532.87,421.37,384.99,429.02,659.64,653.62,571.88,506.34,628.10
1965,623.53,605.64,707.65,675.95,506.06,737.13,634.05,663.44,559.24,675.17,562.44,669.77,564.57,672.52,554.77,533.60,570.62,736.41,582.16,648.55,628.83,700.50
1966,667.97,651.49,786.16,766.41,530.94,786.40,711.66,678.31,597.98,726.60,573.59,683.91,580.27,761.12,564.30,527.26,582.84,740.01,672.55,742.61,656.39,683.12
1967,706.73,623.46,773.34,709.25,582.03,855.47,699.73,729.05,592.23,718.54,633.73,782.59,653.26,743.90,662.71,611.40,637.80,834.04,709.56,729.74,723.09,837.93
1968,576.55,608.19,650.63,619.69,519.81,713.95,501.22,614.21,565.02,663.87,532.54,671.14,545.02,693.45,549.36,521.09,569.77,686.59,540.59,552.39,631.43,659.36
1969,528.34,530.99,572.56,560.29,469.23,629.70,547.24,576.30,506.44,580.08,459.62,575.73,489.65,576.05,458.72,440.15,468.88,601.89,519.00,553.19,513.92,611.99
1970,599.78,675.92,638.35,608.66,612.07,766.98,622.56,690.50,632.53,737.68,518.58,641.20,577.58,744.44,514.25,464.97,482.19,675.04,584.43,629.45,550.68,658.25
1971,590.20,468.35,589.25,532.65,423.67,669.06,652.05,555.44,426.55,543.29,576.66,568.22,458.41,570.12,437.41,427.83,455.27,639.60,678.47,565.06,499.74,653.68
1972,581.35,493.08,574.83,514.61,470.56,651.22,566.86,587.82,482.23,567.73,606.90,572.33,504.86,548.54,463.14,434.12,444.59,639.93,624.15,548.68,494.53,661.68
1973,609.86,553.48,631.97,587.68,485.45,649.07,684.12,575.57,513.60,605.12,602.35,553.27,475.95,611.13,455.78,446.62,485.50,595.67,698.38,584.31,537.48,585.02
1974,658.05,617.30,694.90,691.48,676.42,763.82,625.81,678.88,613.77,687.51,614.21,693.53,619.06,682.78,628.41,630.74,639.59,731.92,660.52,698.35,659.31,718.40
