"","Date","tmax","tmin","prcp"
"1",1887-01-01,2,-22,0
"2",1887-01-02,-13,-24,0
"3",1887-01-03,-8,-23,0
"4",1887-01-04,8,-11,0.23
"5",1887-01-05,10,-16,0
"6",1887-01-06,0,-27,0
"7",1887-01-07,-16,-42,0
"8",1887-01-08,-9,-25,0
"9",1887-01-09,-4,-17,0.01
"10",1887-01-10,0,-21,0
"11",1887-01-11,6,-18,0
"12",1887-01-12,21,5,0
"13",1887-01-13,18,7,0.2
"14",1887-01-14,22,15,0.17
"15",1887-01-15,21,-5,0
"16",1887-01-16,26,14,0
"17",1887-01-17,26,-14,0.05
"18",1887-01-18,-7,-25,0
"19",1887-01-19,6,-6,0
"20",1887-01-20,40,4,0
"21",1887-01-21,19,-12,0
"22",1887-01-22,30,20,0
"23",1887-01-23,21,7,0
"24",1887-01-24,21,-3,0
"25",1887-01-25,27,2,0
"26",1887-01-26,12,-16,0
"27",1887-01-27,2,0,0
"28",1887-01-28,31,18,0
"29",1887-01-29,30,9,0
"30",1887-01-30,31,-26,0
"31",1887-01-31,-18,-23,0
"32",1887-02-01,-8,-20,0
"33",1887-02-02,9,-2,0.22
"34",1887-02-03,15,-15,0.05
"35",1887-02-04,-6,-24,0
"36",1887-02-05,2,-19,0
"37",1887-02-06,12,-3,0
"38",1887-02-07,20,0,0.03
"39",1887-02-08,37,2,0.06
"40",1887-02-09,9,5,0
"41",1887-02-10,34,2,0
"42",1887-02-11,19,2,0.32
"43",1887-02-12,4,-20,0
"44",1887-02-13,14,-16,0
"45",1887-02-14,31,12,0
"46",1887-02-15,36,4,0
"47",1887-02-16,18,3,0
"48",1887-02-17,31,12,0
"49",1887-02-18,30,17,1.02
"50",1887-02-19,21,14,0.08
"51",1887-02-20,22,-9,0
"52",1887-02-21,22,-5,0
"53",1887-02-22,26,2,0
"54",1887-02-23,28,6,0
"55",1887-02-24,31,-1,0
"56",1887-02-25,2,0,0
"57",1887-02-26,34,9,0.28
"58",1887-02-27,12,-3,0
"59",1887-02-28,19,2,0
"60",1887-03-01,40,17,0
"61",1887-03-02,44,28,0
"62",1887-03-03,34,17,0
"63",1887-03-04,27,-3,0
"64",1887-03-05,16,4,0.07
"65",1887-03-06,34,15,0
"66",1887-03-07,37,34,0
"67",1887-03-08,37,23,0
"68",1887-03-09,44,32,0
"69",1887-03-10,35,27,0
"70",1887-03-11,36,27,0
"71",1887-03-12,47,33,0
"72",1887-03-13,56,10,0
"73",1887-03-14,25,12,0
"74",1887-03-15,32,15,0
"75",1887-03-16,37,16,0
"76",1887-03-17,34,18,0
"77",1887-03-18,28,17,0
"78",1887-03-19,32,20,0.03
"79",1887-03-20,43,20,0.05
"80",1887-03-21,40,31,0
"81",1887-03-22,37,29,0.01
"82",1887-03-23,38,26,0
"83",1887-03-24,43,32,0.06
"84",1887-03-25,35,14,0
"85",1887-03-26,28,14,0
"86",1887-03-27,29,18,0
"87",1887-03-28,28,12,0
"88",1887-03-29,24,10,0
"89",1887-03-30,30,22,0
"90",1887-03-31,44,25,0
"91",1887-04-01,40,23,0
"92",1887-04-02,53,34,0
"93",1887-04-03,65,41,0
"94",1887-04-04,52,13,1.03
"95",1887-04-05,30,7,0
"96",1887-04-06,40,21,0
"97",1887-04-07,46,29,0
"98",1887-04-08,52,37,0
"99",1887-04-09,71,49,0
"100",1887-04-10,77,56,0
"101",1887-04-11,68,44,0.02
"102",1887-04-12,75,53,0
"103",1887-04-13,73,51,0.04
"104",1887-04-14,73,53,0.05
"105",1887-04-15,68,40,0.16
"106",1887-04-16,44,37,0.02
"107",1887-04-17,50,29,0
"108",1887-04-18,51,30,0
"109",1887-04-19,54,29,0
"110",1887-04-20,59,41,0
"111",1887-04-21,60,31,0
"112",1887-04-22,65,35,0.15
"113",1887-04-23,41,26,1.7
"114",1887-04-24,38,28,0.07
"115",1887-04-25,36,28,0
"116",1887-04-26,43,27,0
"117",1887-04-27,48,30,0
"118",1887-04-28,58,45,0.17
"119",1887-04-29,60,38,0
"120",1887-04-30,66,50,0
"121",1887-05-01,79,57,0
"122",1887-05-02,85,59,0.03
"123",1887-05-03,60,37,0
"124",1887-05-04,63,41,0
"125",1887-05-05,71,45,0
"126",1887-05-06,71,46,0
"127",1887-05-07,76,51,0
"128",1887-05-08,80,60,0
"129",1887-05-09,87,62,0
"130",1887-05-10,89,55,0
"131",1887-05-11,87,56,0
"132",1887-05-12,83,54,0
"133",1887-05-13,82,62,0
"134",1887-05-14,82,61,0
"135",1887-05-15,76,48,0
"136",1887-05-16,78,45,0
"137",1887-05-17,71,46,0
"138",1887-05-18,61,34,0
"139",1887-05-19,76,47,0
"140",1887-05-20,81,59,0
"141",1887-05-21,85,66,0
"142",1887-05-22,86,61,0.43
"143",1887-05-23,70,52,0
"144",1887-05-24,76,50,0
