Variable:,tas
,Angola,Bengo,Benguela,Bie,Cabinda,"Cuando Cubango","Cuanza Sul",Cunene,Huambo,Huila,"Kuanza Norte",Luanda,"Lunda Norte","Lunda Sul",Malanje,Moxico,Namibe,Uige,Zaire
1901,21.39,23.85,20.66,19.90,24.78,21.55,20.21,21.26,18.74,19.88,21.98,24.79,22.29,22.06,21.60,21.62,19.65,22.19,23.80
1902,21.43,23.91,20.72,19.95,24.85,21.58,20.27,21.28,18.79,19.92,22.05,24.86,22.33,22.09,21.66,21.65,19.68,22.25,23.86
1903,21.44,23.93,20.73,19.96,24.97,21.59,20.28,21.28,18.80,19.92,22.06,24.86,22.34,22.09,21.67,21.65,19.68,22.27,23.92
1904,21.35,23.80,20.62,19.86,24.73,21.45,20.16,21.24,18.69,19.85,21.93,24.74,22.26,22.04,21.56,21.59,19.62,22.14,23.75
1905,21.40,23.85,20.66,19.90,24.99,21.56,20.20,21.25,18.73,19.87,21.97,24.78,22.29,22.06,21.59,21.63,19.64,22.22,23.91
1906,21.28,23.68,20.49,19.76,24.87,21.43,20.02,21.20,18.57,19.76,21.79,24.60,22.18,21.99,21.43,21.56,19.54,22.06,23.77
1907,21.29,23.72,20.53,19.79,24.93,21.38,20.06,21.21,18.61,19.79,21.83,24.65,22.20,22.00,21.46,21.56,19.57,22.10,23.81
1908,21.37,23.81,20.63,19.87,24.68,21.52,20.17,21.25,18.70,19.85,21.94,24.75,22.27,22.05,21.56,21.61,19.63,22.14,23.73
1909,21.38,23.85,20.66,19.90,25.06,21.46,20.20,21.26,18.73,19.87,21.97,24.78,22.29,22.06,21.59,21.60,19.64,22.23,23.94
1910,21.42,23.95,20.76,19.99,24.82,21.43,20.32,21.29,18.83,19.95,22.09,24.89,22.36,22.10,21.70,21.61,19.71,22.27,23.86
1911,21.49,24.07,20.86,20.07,25.07,21.45,20.43,21.32,18.93,20.02,22.21,25.01,22.42,22.15,21.80,21.63,19.77,22.40,24.04
1912,21.43,23.92,20.71,19.94,25.16,21.55,20.25,21.27,18.78,19.91,22.03,24.85,22.32,22.08,21.64,21.64,19.67,22.30,24.03
1913,21.44,23.93,20.74,19.97,24.79,21.59,20.29,21.28,18.81,19.93,22.06,24.86,22.34,22.09,21.68,21.65,19.69,22.25,23.84
1914,21.36,23.78,20.58,19.84,24.97,21.58,20.12,21.23,18.66,19.82,21.89,24.70,22.24,22.03,21.52,21.63,19.60,22.15,23.85
1915,21.38,23.84,20.66,19.90,24.80,21.50,20.20,21.25,18.73,19.87,21.97,24.77,22.29,22.06,21.59,21.62,19.64,22.17,23.78
1916,21.35,23.77,20.60,19.85,24.74,21.53,20.14,21.24,18.67,19.83,21.91,24.71,22.25,22.03,21.53,21.61,19.61,22.11,23.72
1917,21.40,23.87,20.69,19.92,24.83,21.54,20.23,21.26,18.76,19.89,22.01,24.81,22.31,22.07,21.62,21.63,19.66,22.20,23.81
1918,21.20,23.84,20.66,19.85,24.80,20.95,20.20,21.20,18.73,19.87,21.97,24.77,22.29,21.96,21.59,21.14,19.64,22.17,23.79
1919,21.26,23.82,20.64,19.86,24.78,21.17,20.18,21.22,18.71,19.86,21.96,24.76,22.28,22.00,21.58,21.32,19.63,22.15,23.77
1920,21.38,23.85,20.66,19.91,24.81,21.50,20.21,21.26,18.74,19.88,21.98,24.78,22.29,22.07,21.60,21.61,19.64,22.18,23.79
1921,21.40,23.85,20.66,19.92,24.81,21.51,20.21,21.27,18.74,19.88,21.98,24.78,22.29,22.09,21.60,21.66,19.65,22.18,23.79
1922,21.51,23.82,20.64,19.94,24.79,21.94,20.18,21.31,18.72,19.87,21.96,24.76,22.28,22.15,21.58,21.98,19.63,22.15,23.77
1923,21.38,23.78,20.61,19.87,24.75,21.60,20.14,21.26,18.68,19.84,21.91,24.71,22.25,22.08,21.54,21.69,19.61,22.11,23.73
1924,21.45,24.00,20.80,20.01,24.94,21.46,20.35,21.30,18.86,19.97,22.13,24.93,22.38,22.11,21.74,21.59,19.73,22.32,23.94
1925,21.27,23.85,20.66,19.88,24.81,21.14,20.21,21.22,18.74,19.88,21.98,24.78,22.29,22.00,21.60,21.31,19.65,22.18,23.79
1926,21.34,23.86,20.68,19.90,24.82,21.33,20.22,21.25,18.75,19.89,22.00,24.80,22.30,22.04,21.61,21.46,19.66,22.19,23.81
1927,21.34,23.90,20.71,19.93,24.85,21.29,20.25,21.25,18.78,19.91,22.03,24.83,22.32,22.04,21.64,21.43,19.68,22.22,23.84
1928,21.55,23.98,20.78,20.03,24.93,21.81,20.34,21.33,18.85,19.97,22.11,24.91,22.37,22.18,21.72,21.89,19.72,22.31,23.92
1929,21.39,23.74,20.57,19.86,24.71,21.67,20.10,21.27,18.64,19.82,21.87,24.67,22.23,22.09,21.51,21.77,19.59,22.08,23.69
1930,21.37,23.89,20.70,19.93,24.85,21.38,20.25,21.27,18.77,19.90,22.02,24.82,22.32,22.07,21.64,21.54,19.67,22.22,23.84
1931,21.56,23.96,20.76,20.02,24.90,21.89,20.31,21.33,18.83,19.95,22.09,24.89,22.36,22.18,21.70,21.95,19.70,22.28,23.90
1932,21.33,23.72,20.55,19.83,24.69,21.50,20.09,21.24,18.63,19.81,21.86,24.66,22.22,22.04,21.49,21.61,19.58,22.06,23.67
