Variable:,tas
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
1901,24.21,22.68,23.94,23.70,27.54,25.25,25.85,22.31,22.01,23.91,24.45
1902,24.45,22.96,24.21,23.93,27.63,25.52,26.08,22.60,22.28,24.16,24.72
1903,24.54,23.03,24.33,24.04,27.63,25.65,26.10,22.69,22.40,24.30,24.84
1904,24.35,22.88,24.07,23.81,27.63,25.36,26.05,22.48,22.15,24.01,24.58
1905,24.63,23.09,24.44,24.14,27.63,25.77,26.13,22.79,22.51,24.43,24.95
1906,24.59,23.06,24.40,24.10,27.63,25.72,26.12,22.75,22.46,24.37,24.91
1907,24.63,23.09,24.44,24.14,27.63,25.77,26.13,22.78,22.50,24.43,24.95
1908,24.34,22.87,24.06,23.80,27.63,25.35,26.05,22.48,22.14,23.99,24.58
1909,24.72,23.17,24.57,24.26,27.63,25.91,26.15,22.89,22.63,24.58,25.08
1910,24.27,22.79,23.97,23.72,27.61,25.26,25.98,22.38,22.05,23.91,24.49
1911,24.58,23.06,24.39,24.09,27.63,25.72,26.11,22.73,22.45,24.37,24.89
1912,24.60,23.04,24.43,24.14,27.58,25.76,26.04,22.76,22.48,24.44,24.94
1913,24.35,22.88,24.06,23.80,27.63,25.36,26.05,22.48,22.15,24.00,24.59
1914,24.64,23.11,24.47,24.16,27.63,25.79,26.13,22.81,22.53,24.45,24.98
1915,24.53,23.02,24.31,24.02,27.63,25.62,26.10,22.68,22.38,24.27,24.82
1916,24.53,23.02,24.31,24.02,27.63,25.62,26.10,22.68,22.38,24.27,24.82
1917,24.53,23.02,24.31,24.02,27.63,25.62,26.10,22.68,22.38,24.27,24.82
1918,24.53,23.02,24.31,24.02,27.63,25.62,26.10,22.68,22.38,24.27,24.82
1919,24.53,23.02,24.31,24.02,27.63,25.62,26.10,22.68,22.38,24.27,24.82
1920,24.53,23.02,24.31,24.02,27.63,25.62,26.10,22.68,22.38,24.27,24.82
1921,24.53,23.02,24.31,24.02,27.63,25.62,26.10,22.68,22.38,24.27,24.82
1922,24.53,23.02,24.31,24.02,27.63,25.62,26.10,22.68,22.38,24.27,24.82
1923,24.66,23.22,24.37,24.03,28.09,25.66,26.41,22.88,22.52,24.27,24.88
1924,24.61,23.13,24.34,24.03,27.90,25.65,26.29,22.79,22.46,24.27,24.84
1925,24.41,22.85,24.26,24.01,27.25,25.58,25.84,22.44,22.25,24.27,24.68
1926,24.67,23.24,24.37,24.03,28.08,25.67,26.43,22.93,22.54,24.27,24.91
1927,24.69,23.26,24.38,24.03,28.18,25.67,26.47,22.92,22.55,24.27,24.90
1928,24.50,22.97,24.29,24.02,27.66,25.61,26.05,22.59,22.34,24.27,24.74
1929,24.37,22.76,24.23,24.01,27.28,25.56,25.75,22.32,22.17,24.27,24.61
1930,24.67,23.20,24.36,24.03,28.23,25.66,26.42,22.91,22.51,24.27,24.94
1931,24.85,23.48,24.44,24.04,28.73,25.73,26.84,23.27,22.73,24.27,25.13
1932,24.75,23.36,24.40,24.04,28.27,25.70,26.61,23.11,22.64,24.27,25.04
1933,24.60,23.12,24.34,24.03,27.83,25.65,26.25,22.83,22.46,24.27,24.92
1934,24.70,23.29,24.39,24.04,28.14,25.68,26.50,23.01,22.58,24.27,24.97
1935,24.77,23.39,24.42,24.04,28.34,25.71,26.65,23.14,22.66,24.27,25.03
1936,24.63,23.16,24.35,24.03,27.98,25.65,26.33,22.82,22.48,24.27,24.86
1937,24.69,23.26,24.37,24.03,28.17,25.68,26.47,23.00,22.56,24.27,24.99
1938,24.89,23.53,24.45,24.05,28.79,25.75,26.90,23.35,22.77,24.27,25.19
1939,24.77,23.36,24.40,24.04,28.42,25.70,26.64,23.14,22.64,24.27,25.07
1940,24.53,23.02,24.31,24.02,27.63,25.62,26.10,22.68,22.38,24.27,24.82
1941,25.22,23.78,24.89,24.77,28.47,26.21,26.93,23.18,22.91,24.87,25.37
1942,25.06,23.60,24.76,24.60,28.24,26.09,26.72,23.03,22.77,24.74,25.22
1943,24.58,23.15,24.32,24.05,27.78,25.55,26.28,22.73,22.39,24.19,24.79
1944,24.84,23.29,24.63,24.45,27.76,25.97,26.33,22.85,22.61,24.69,25.07
1945,24.83,23.27,24.68,24.49,27.57,26.04,26.25,22.80,22.61,24.74,25.07
1946,24.80,23.32,24.59,24.41,27.72,25.87,26.36,22.79,22.55,24.56,24.96
1947,24.92,23.38,24.71,24.54,27.84,26.05,26.43,22.89,22.67,24.74,25.14
1948,24.56,23.03,24.39,24.15,27.41,25.71,26.04,22.63,22.39,24.37,24.82
1949,24.87,23.35,24.69,24.49,27.55,26.06,26.33,22.90,22.69,24.73,25.17
1950,24.77,23.27,24.70,24.38,27.28,26.04,26.14,22.85,22.68,24.63,25.08
1951,24.87,23.32,24.75,24.50,27.63,26.02,26.30,22.92,22.77,24.67,25.19
1952,24.84,23.33,24.68,24.45,27.68,25.90,26.35,22.91,22.71,24.57,25.06
1953,24.78,23.23,24.66,24.42,27.54,25.87,26.21,22.84,22.70,24.54,25.01
1954,24.58,23.15,24.30,24.18,27.74,25.42,26.26,22.65,22.35,24.14,24.65
1955,24.49,22.97,24.27,24.08,27.47,25.57,26.03,22.60,22.33,24.24,24.72
1956,24.48,23.04,24.24,24.08,27.53,25.43,26.07,22.58,22.31,24.10,24.61
1957,24.80,23.35,24.62,24.43,27.67,25.82,26.28,22.97,22.66,24.50,24.97
1958,24.93,23.54,24.66,24.59,28.02,25.76,26.58,22.98,22.70,24.45,24.92
1959,24.84,23.41,24.64,24.51,27.65,25.83,26.31,22.94,22.68,24.52,24.99
1960,24.81,23.34,24.61,24.38,27.80,25.86,26.34,22.95,22.65,24.53,24.99
1961,24.49,23.05,24.38,24.12,27.09,25.65,25.87,22.62,22.41,24.31,24.79
1962,24.63,23.17,24.42,24.21,27.56,25.71,26.13,22.79,22.47,24.37,24.85
1963,24.89,23.45,24.68,24.36,27.91,26.00,26.46,23.07,22.80,24.61,25.20
1964,24.54,23.09,24.34,24.09,27.44,25.66,26.05,22.66,22.37,24.32,24.80
1965,24.62,23.20,24.39,24.22,27.53,25.62,26.18,22.68,22.41,24.28,24.78
1966,24.74,23.23,24.58,24.26,27.63,25.92,26.22,22.91,22.63,24.55,25.09
1967,24.42,22.89,24.27,23.92,27.19,25.68,25.81,22.65,22.35,24.32,24.88
1968,24.58,23.15,24.34,24.11,27.60,25.62,26.16,22.71,22.38,24.28,24.82
1969,24.92,23.45,24.66,24.44,28.20,25.87,26.61,23.00,22.69,24.55,25.06
1970,24.83,23.43,24.58,24.41,27.85,25.81,26.46,22.88,22.59,24.47,24.99
1971,24.16,22.61,23.96,23.65,27.22,25.31,25.67,22.32,22.02,23.99,24.52
1972,24.47,22.96,24.21,23.97,27.70,25.49,26.09,22.58,22.27,24.18,24.68
1973,24.75,23.22,24.51,24.16,28.07,25.85,26.41,22.91,22.59,24.46,25.04
1974,24.10,22.55,23.93,23.53,27.18,25.31,25.63,22.28,22.00,23.92,24.51
1975,24.12,22.59,23.93,23.55,27.23,25.30,25.66,22.35,22.02,23.91,24.50
1976,24.06,22.52,23.81,23.47,27.46,25.12,25.76,22.16,21.82,23.76,24.30
1977,24.42,22.91,24.29,23.91,27.27,25.62,25.87,22.61,22.35,24.25,24.82
1978,24.35,22.83,24.17,23.72,27.47,25.54,25.92,22.60,22.28,24.15,24.75
1979,24.71,23.18,24.52,24.21,27.83,25.79,26.25,22.86,22.55,24.48,24.93
1980,24.67,23.18,24.48,24.11,27.81,25.78,26.23,22.88,22.58,24.41,24.94
1981,24.36,22.76,24.14,23.88,27.48,25.52,25.89,22.53,22.23,24.16,24.79
1982,24.40,22.86,24.14,23.88,27.73,25.40,26.10,22.51,22.20,24.06,24.62
1983,24.69,23.20,24.44,24.25,27.81,25.70,26.26,22.79,22.50,24.40,24.97
1984,24.50,22.88,24.25,23.87,27.89,25.65,26.15,22.72,22.37,24.32,24.92
1985,24.43,22.90,24.19,23.93,27.66,25.47,26.05,22.56,22.27,24.14,24.70
1986,24.44,22.97,24.08,23.90,27.96,25.33,26.25,22.49,22.17,24.00,24.57
1987,24.96,23.44,24.70,24.44,28.20,26.02,26.58,23.11,22.81,24.67,25.23
1988,24.69,23.20,24.48,24.22,27.77,25.74,26.26,22.82,22.56,24.41,24.92
1989,24.41,22.86,24.31,23.94,27.17,25.70,25.75,22.59,22.39,24.36,24.86
1990,24.88,23.45,24.63,24.35,28.21,25.79,26.62,22.89,22.63,24.54,24.89
1991,24.65,23.19,24.36,24.07,28.11,25.62,26.37,22.78,22.41,24.34,24.75
1992,24.36,22.86,24.15,23.83,27.39,25.46,25.95,22.53,22.23,24.11,24.67
1993,24.51,23.07,24.24,23.84,27.90,25.54,26.25,22.77,22.39,24.19,24.80
1994,24.50,22.99,24.29,23.95,27.68,25.60,26.09,22.65,22.37,24.24,24.75
1995,24.73,23.23,24.51,24.20,27.90,25.80,26.34,22.88,22.57,24.49,24.96
1996,24.57,23.09,24.27,23.94,28.00,25.62,26.28,22.81,22.40,24.26,24.84
1997,24.70,23.27,24.39,24.08,28.31,25.57,26.52,22.77,22.44,24.29,24.74
1998,25.27,23.77,25.03,24.77,28.50,26.31,26.88,23.36,23.08,25.01,25.43
1999,24.66,23.14,24.40,24.01,28.07,25.75,26.32,22.88,22.56,24.40,24.94
2000,24.63,23.07,24.42,24.11,27.71,25.80,26.17,22.75,22.50,24.41,25.00
2001,24.69,23.13,24.46,24.20,27.86,25.80,26.26,22.78,22.51,24.48,25.00
2002,24.87,23.36,24.64,24.30,28.10,25.97,26.49,22.99,22.71,24.63,25.13
2003,24.92,23.39,24.68,24.34,28.24,26.05,26.51,23.07,22.78,24.68,25.25
2004,24.99,23.50,24.72,24.42,28.37,26.01,26.66,23.10,22.77,24.70,25.18
2005,25.03,23.53,24.78,24.50,28.35,26.06,26.65,23.15,22.87,24.71,25.27
2006,24.94,23.39,24.67,24.39,28.32,26.02,26.58,23.08,22.75,24.70,25.22
2007,24.94,23.43,24.68,24.33,28.32,26.02,26.61,23.09,22.79,24.66,25.21
2008,24.74,23.24,24.50,24.19,27.97,25.82,26.35,22.89,22.58,24.48,25.03
2009,25.06,23.59,24.73,24.44,28.71,26.00,26.85,23.19,22.84,24.66,25.22
2010,25.23,23.75,24.88,24.64,28.86,26.19,27.00,23.35,22.98,24.86,25.42
2011,24.87,23.37,24.58,24.25,28.46,25.90,26.59,23.03,22.69,24.52,25.11
2012,24.84,23.32,24.59,24.26,28.28,25.87,26.49,22.94,22.67,24.55,25.06
2013,24.94,23.48,24.64,24.35,28.38,25.95,26.63,23.14,22.78,24.59,25.20
2014,24.98,23.50,24.68,24.35,28.44,26.02,26.67,23.19,22.84,24.62,25.30
2015,25.01,23.46,24.79,24.49,28.17,26.16,26.55,23.18,22.86,24.79,25.36
2016,25.27,23.77,25.00,24.75,28.54,26.29,26.88,23.40,23.06,24.99,25.48
2017,25.00,23.46,24.77,24.49,28.11,26.15,26.55,23.16,22.85,24.76,25.39
2018,25.00,23.45,24.79,24.51,28.04,26.17,26.50,23.14,22.85,24.83,25.37
2019,24.94,23.37,24.71,24.47,28.09,26.04,26.46,23.03,22.74,24.73,25.25
2020,25.27,23.76,25.10,24.91,28.16,26.32,26.79,23.24,23.05,25.07,25.41
