Variable:,tas
,"Christmas Island","Administrative unit not available"
1901,25.07,25.07
1902,24.95,24.95
1903,24.98,24.98
1904,25.03,25.03
1905,25.14,25.14
1906,25.09,25.09
1907,24.88,24.88
1908,25.13,25.13
1909,25.03,25.03
1910,24.97,24.97
1911,24.93,24.93
1912,25.14,25.14
1913,25.10,25.10
1914,25.24,25.24
1915,25.26,25.26
1916,24.87,24.87
1917,25.15,25.15
1918,25.09,25.09
1919,25.13,25.13
1920,25.16,25.16
1921,24.94,24.94
1922,25.01,25.01
1923,25.06,25.06
1924,25.24,25.24
1925,25.18,25.18
1926,25.37,25.37
1927,25.29,25.29
1928,25.28,25.28
1929,25.13,25.13
1930,25.35,25.35
1931,25.54,25.54
1932,25.24,25.24
1933,25.23,25.23
1934,25.14,25.14
1935,25.28,25.28
1936,25.36,25.36
1937,25.33,25.33
1938,25.36,25.36
1939,25.31,25.31
1940,25.31,25.31
1941,25.68,25.68
1942,25.64,25.64
1943,25.13,25.13
1944,25.42,25.42
1945,25.46,25.46
1946,25.78,25.78
1947,25.76,25.76
1948,25.58,25.58
1949,25.46,25.46
1950,25.28,25.28
1951,25.38,25.38
1952,25.42,25.42
1953,25.57,25.57
1954,25.43,25.43
1955,25.27,25.27
1956,25.31,25.31
1957,25.57,25.57
1958,25.58,25.58
1959,25.51,25.51
1960,25.43,25.43
1961,25.39,25.39
1962,25.35,25.35
1963,25.35,25.35
1964,25.53,25.53
1965,25.43,25.43
1966,25.71,25.71
1967,25.64,25.64
1968,25.54,25.54
1969,25.98,25.98
1970,25.82,25.82
1971,25.63,25.63
1972,25.95,25.95
1973,26.16,26.16
1974,25.57,25.57
1975,25.80,25.80
1976,25.49,25.49
1977,25.61,25.61
1978,25.57,25.57
1979,25.71,25.71
1980,25.74,25.74
1981,25.76,25.76
1982,25.59,25.59
1983,25.88,25.88
1984,25.44,25.44
1985,25.70,25.70
1986,25.63,25.63
1987,25.91,25.91
1988,25.71,25.71
1989,25.79,25.79
1990,25.79,25.79
1991,25.86,25.86
1992,26.00,26.00
1993,26.02,26.02
1994,26.02,26.02
1995,26.10,26.10
1996,26.02,26.02
1997,26.08,26.08
1998,26.29,26.29
1999,25.97,25.97
2000,26.08,26.08
2001,25.73,25.73
2002,25.78,25.78
2003,25.75,25.75
2004,26.11,26.11
2005,26.11,26.11
2006,25.85,25.85
2007,26.12,26.12
2008,26.06,26.06
2009,26.16,26.16
2010,26.23,26.23
2011,26.07,26.07
2012,26.13,26.13
2013,26.23,26.23
2014,26.03,26.03
2015,26.13,26.13
2016,26.06,26.06
2017,26.20,26.20
2018,26.17,26.17
2019,26.36,26.36
2020,26.14,26.14
